-181,590,2235
-217,599,2242
-213,587,2234
-153,560,2197
-140,539,2189
-152,543,2108
-141,524,2087
-124,538,2129
-141,524,2132
-133,514,2086
-129,514,2017
-141,548,2060
-141,570,2107
-152,602,2131
-164,625,2112
-172,632,2141
-180,637,2181
-184,622,2208
-204,612,2240
-231,588,2255
-230,603,2230
-190,585,2192
-165,571,2177
-151,534,2188
-160,498,2190
-163,468,2181
-158,438,2168
-117,300,2174
-116,399,2193
-126,406,2217
-81,472,2218
-100,460,2211
-97,473,2228
-111,493,2230
-104,518,2208
-90,532,2187
-95,557,2157
-112,557,2116
-107,539,2085
-113,539,2079
-152,550,2096
-169,554,2085
-157,572,2066
-119,560,2051
-105,547,2088
-107,547,2054
-127,566,2018
-117,555,2005
-120,558,2008
-127,558,1991
-132,556,1975
-135,563,1953
-145,589,1995
-141,582,2059
-145,583,2092
-151,616,2095
-147,605,2093
-153,607,2095
-156,617,2109
-165,622,2127
-158,615,2109
-137,589,2097
-132,574,2096
-133,561,2090
-123,553,2114
-82,459,2146
-89,475,2085
-101,488,2095
-114,525,2102
-131,567,2053
-125,568,2044
-137,570,2045
-141,579,2049
-141,572,2036
-142,571,2027
-121,561,2021
-117,577,2041
-119,548,2036
-120,549,2043
-122,541,2044
-120,537,2040
-118,520,2027
-111,527,2033
-121,513,2042
-102,514,2058
-96,479,2035
-98,483,2025
-104,487,2020
-107,512,2034
-111,528,2061
-59,514,2138
-94,504,2129
-92,495,2130
-56,449,2157
-60,427,2154
-91,425,2130
-89,419,2109
-82,442,2061
-72,426,2049
-77,431,2039
-91,424,2043
-91,414,2053
-110,397,2091
-120,396,2118
-123,393,2124
-68,367,2171
-60,227,2215
-74,205,2205
-106,156,2201
-63,214,2199
-113,172,2202
-125,242,2190
-136,245,2202
-60,495,2085
-86,487,2071
-80,467,2058
-73,459,2070
-66,459,2071
-49,467,2090
-43,465,2085
-38,460,2078
-39,458,2065
-61,446,2050
-70,463,2055
-67,471,2075
-78,476,2107
-77,460,2091
-84,445,2077
-94,430,2067
-101,422,2074
-118,392,2107
-124,376,2118
-113,374,2082
-93,458,2008
-107,439,2053
-104,420,2050
-90,418,2048
-96,412,2057
-99,407,2082
-105,428,2084
-110,439,2121
-103,459,2126
-107,448,2120
-113,388,2107
-121,383,2100
-115,378,2058
-113,389,2022
-125,401,2017
-116,401,2008
-127,468,2054
-120,456,2027
-144,405,2048
13,453,2079
-83,517,2104
-96,532,2065
-113,574,2081
-125,592,2102
-125,594,2128
-131,600,2138
-133,608,2117
-128,604,2109
-120,581,2110
